Rank,Beer,# of Ratings,Avg. Rating
184,La Fosse Side Project Brewing Wild Ale | 8.00%,413,4.51
185,Heavy Mettle Trillium Brewing Company New England IPA | 9.30%,1232,4.5
186,Oude Geuze Golden Blend Brouwerij 3 Fonteinen Gueuze | 7.50%,1200,4.5
187,Hommage Brouwerij 3 Fonteinen Fruit Lambic | 6.00%,1167,4.5
188,Saison Bernice Sante Adairius Rustic Ales Saison | 6.50%,1070,4.5
189,Coconut B-Bomb Fremont Brewing Company American Strong Ale | 13.00%,361,4.51
190,Double Barrel Jesus Evil Twin Brewing American Imperial Stout | 12.00%,826,4.5
191,Clare's Thirsty Ale Haymarket Beer Co. Pub & Brewery American Imperial Stout | 12.50%,341,4.51
192,Reaction State Bottle Logic Brewing American Imperial Stout | 11.80%,218,4.52
193,Oude Geuze Cuvée Armand & Gaston Brouwerij 3 Fonteinen Gueuze | 6.50%,753,4.5
194,Imperial German Chocolate Cupcake Stout Angry Chair Brewing American Imperial Stout | 11.50%,325,4.51
195,Double Stack Great Notion Brewing American Imperial Stout | 11.00%,692,4.5
196,Double Dry Hopped All Citra Everything Other Half Brewing Company New England IPA | 8.50%,657,4.5
197,Hold On To Sunshine Tree House Brewing Company Sweet / Milk Stout | 7.60%,619,4.5
198,Thicket Side Project Brewing Wild Ale | 6.00%,306,4.51
199,Bomb! Prairie Artisan Ales American Imperial Stout | 13.00%,6613,4.49
200,Barrel-Aged Silhouette Lift Bridge Brewery Russian Imperial Stout | 11.00%,549,4.5
201,Consecration Russian River Brewing Company Wild Ale | 10.00%,5607,4.49
202,Permanent Funeral 3 Floyds Brewing Co. Imperial IPA | 10.50%,3226,4.49
203,Everett Hill Farmstead Brewery American Porter | 7.50%,2854,4.49
204,Congress Street IPA Trillium Brewing Company New England IPA | 7.20%,2467,4.49
205,Yellow Bus The Lost Abbey Wild Ale | 7.00%,141,4.53
206,Affogato Trillium Brewing Company American Imperial Stout | 13.30%,429,4.5
207,Mocha Wednesday The Bruery American Imperial Stout | 19.90%,1495,4.49
208,No Rules Perrin Brewing Co. Imperial Porter | 15.00%,1406,4.49
209,Triple Citra Daydream Other Half Brewing Company Milkshake IPA | 10.50%,246,4.51
210,Space Trace Bottle Logic Brewing American Imperial Stout | 11.10%,412,4.5
211,Peche Du Fermier Side Project Brewing Saison | 8.00%,230,4.51
212,CitraQuench'l Heist Brewery New England IPA | 7.10%,367,4.5
213,KBS - Maple Mackinac Fudge Founders Brewing Company American Imperial Stout | 11.00%,908,4.49
214,Damon (Bourbon Barrel Aged) Hill Farmstead Brewery Russian Imperial Stout | 10.50%,885,4.49
215,Old Stock Cellar Reserve (Aged In Brandy Barrels) North Coast Brewing Co. Old Ale | 15.20%,757,4.49
216,Truth - Vanilla Bean Tree House Brewing Company American Imperial Stout | 13.20%,50,4.6
217,Popinski - Bourbon Barrel-Aged - Peanut Butter And Marshmallow Angry Chair Brewing Russian Imperial Stout | 11.50%,60,4.58
218,Foggy Window Monkish Brewing Co. New England IPA | 8.10%,308,4.5
219,Bad Boy Alpine Beer Company Imperial IPA | 9.00%,628,4.49
220,Jammy Side Project Brewing Saison | 8.00%,197,4.51
221,Cellarman Barrel Aged Saison Sante Adairius Rustic Ales Saison | 6.50%,581,4.49
222,PNC Imperial Buckwheat Stout Firestone Walker Brewing Co. American Imperial Stout | 13.70%,530,4.49
223,Darkness Surly Brewing Company Russian Imperial Stout | 12.00%,4244,4.48
224,Bourbon County Double Barrel Toasted Barrel Stout Goose Island Beer Co. American Imperial Stout | 16.00%,142,4.52
225,Henna: Barrel-Aged Double Rainbow More Brewing Co. American Imperial Stout | 15.00%,82,4.55
226,Leche Borracho Bottle Logic Brewing American Imperial Stout | 11.00%,477,4.49
227,Crusher The Alchemist New England IPA | 8.00%,2332,4.48
228,Barrel-Aged Malevolence Chocolate Caliente Spiteful Brewing American Imperial Stout | 10.50%,112,4.53
229,Sosus Toppling Goliath Brewing Company Imperial IPA | 7.80%,1994,4.48
230,Apple Brandy Barrel Noir Prairie Artisan Ales American Imperial Stout | 12.00%,1707,4.48
231,Arcane Rituals Bottle Logic Brewing English Barleywine | 11.37%,110,4.53
232,Jam The Radar Bottle Logic Brewing American Imperial Stout | 13.70%,418,4.49
233,Barrel Aged Bomb! Prairie Artisan Ales American Imperial Stout | 14.70%,1254,4.48
234,Starry Noche WeldWerks Brewing Co. American Imperial Stout | 15.60%,107,4.53
235,Double Dry Hopped Double Citra Daydream Other Half Brewing Company New England IPA | 8.50%,377,4.49
236,Barrel Aged Christmas Bomb! Prairie Artisan Ales American Imperial Stout | 13.00%,224,4.5
237,Black Tuesday - Rum Barrel-Aged The Bruery American Imperial Stout | 18.90%,355,4.49
238,Blanc De Blancs Side Project Brewing Bière de Champagne / Bière Brut | 10.00%,351,4.49
239,Aurelian Lure Jester King Brewery Wild Ale | 5.40%,786,4.48
240,Juicy Hill Farmstead Brewery Saison | 7.40%,774,4.48
241,Darkstar November Bottle Logic Brewing Russian Imperial Stout | 14.76%,752,4.48
242,Bourbon Barrel Oro Negro Jackie O's Brewpub American Imperial Stout | 12.10%,629,4.48
243,The Abyss Deschutes Brewery American Imperial Stout | 11.40%,7560,4.47
244,Abraxas Perennial Artisan Ales American Imperial Stout | 11.50%,3092,4.47
245,Stickee Monkee Firestone Walker Brewing Co. Quadrupel (Quad) | 12.30%,2991,4.47
246,All That Is And All That Ever Will Be Tree House Brewing Company Sweet / Milk Stout | 6.50%,485,4.48
247,Samuel Adams Utopias Boston Beer Company (Samuel Adams) American Strong Ale | 28.00%,2814,4.47
248,Trappist Westvleteren 8 (VIII) Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren) Dubbel | 8.00%,2380,4.47
249,Ten FIDY - Bourbon Barrel-Aged Oskar Blues Grill & Brew American Imperial Stout | 12.50%,2309,4.47
250,Insert Hip Hop Reference There Trillium Brewing Company New England IPA | 10.00%,136,4.51
