ABV (%),Beer ID,Beer Name,Beer Style,Brewery ID,Ounces,Brewery Name,City,State
5.0,1294,Angry Orchard Apple Ginger,Cider,434,16.0,Angry Orchard Cider Company,Cincinnati, OH
5.0,1293,Angry Orchard Crisp Apple,Cider,434,16.0,Angry Orchard Cider Company,Cincinnati, OH
5.0,1292,Angry Orchard Crisp Apple,Cider,434,12.0,Angry Orchard Cider Company,Cincinnati, OH
6.800000000000001,2207,Golden One,Belgian Pale Ale,193,12.0,Anthem Brewing Company,Oklahoma City, OK
6.0,2040,Arjuna,Witbier,193,12.0,Anthem Brewing Company,Oklahoma City, OK
8.5,2039,Uroboros,American Stout,193,12.0,Anthem Brewing Company,Oklahoma City, OK
7.1,2511,Long Leaf,American IPA,69,16.0,Appalachian Mountain Brewery,Boone, NC
4.7,2510,Honey Badger Blonde,American Blonde Ale,69,16.0,Appalachian Mountain Brewery,Boone, NC
6.0,2509,Porter (a/k/a Black Gold Porter),American Porter,69,16.0,Appalachian Mountain Brewery,Boone, NC
6.0,413,Sky High Rye,American Pale Ale (APA),541,12.0,Arcadia Brewing Company,Battle Creek, MI
6.2,390,Whitsun,American Pale Wheat Ale,541,12.0,Arcadia Brewing Company,Battle Creek, MI
5.2,735,On-On Ale (2008),American Pale Ale (APA),513,12.0,Arctic Craft Brewery,Colorado Springs, CO
9.2,1333,Quakertown Stout,American Double / Imperial Stout,426,12.0,Armadillo Ale Works,Denton, TX
5.1,1332,Greenbelt Farmhouse Ale,Saison / Farmhouse Ale,426,12.0,Armadillo Ale Works,Denton, TX
5.2,1172,Mo's Gose,Gose,461,16.0,Armstrong Brewing Company,South San Francisco, CA
7.000000000000001,1322,Green Bullet Organic India Pale Ale,American IPA,429,16.0,Asher Brewing Company,Boulder, CO
3.2,550,Rocket Girl,Kölsch,528,12.0,Asheville Brewing Company,Asheville, NC
5.3,429,Ninja Porter,American Porter,528,12.0,Asheville Brewing Company,Asheville, NC
6.0,428,Shiva IPA,American IPA,528,12.0,Asheville Brewing Company,Asheville, NC
4.8,1640,Aslan Kölsch,Kölsch,353,16.0,Aslan Brewing Company,Bellingham, WA
7.7,1639,Aslan IPA,American IPA,353,16.0,Aslan Brewing Company,Bellingham, WA
7.7,1638,Aslan Amber,American Amber / Red Ale,353,16.0,Aslan Brewing Company,Bellingham, WA
5.59999999999999,597,This Season's Blonde,American Blonde Ale,523,12.0,Aspen Brewing Company,Aspen, CO
7.000000000000001,596,Independence Pass Ale,American IPA,523,12.0,Aspen Brewing Company,Aspen, CO
5.7,1580,Trolley Stop Stout,American Stout,374,12.0,Astoria Brewing Company,Astoria, OR
8.19999999999999,980,Bitter Bitch Imperial IPA,American Double / Imperial IPA,374,12.0,Astoria Brewing Company,Astoria, OR
6.2,979,Poop Deck Porter,American Porter,374,12.0,Astoria Brewing Company,Astoria, OR
6.0,978,Old Red Beard Amber Ale,American Amber / Red Ale,374,12.0,Astoria Brewing Company,Astoria, OR
7.5,2503,Hop A-Peel,American Double / Imperial IPA,72,16.0,Atwater Brewery,Detroit, MI
5.5,2502,Vanilla Java Porter,American Porter,72,16.0,Atwater Brewery,Detroit, MI
5.2,2495,Michelada,Fruit / Vegetable Beer,72,16.0,Atwater Brewery,Detroit, MI
4.5,534,Dirty Blonde Ale,American Blonde Ale,72,12.0,Atwater Brewery,Detroit, MI
5.0,528,Grand Circus IPA,American IPA,72,12.0,Atwater Brewery,Detroit, MI
5.0,527,Atwater's Lager,Munich Helles Lager,72,12.0,Atwater Brewery,Detroit, MI
7.000000000000001,1409,Heavy Machinery IPA Series #1: Heavy Fist,American Black Ale,413,16.0,Austin Beerworks,Austin, TX
6.2,343,Fire Eagle IPA,American IPA,413,12.0,Austin Beerworks,Austin, TX
5.1,342,Peacemaker,American Pale Ale (APA),413,12.0,Austin Beerworks,Austin, TX
5.3,341,Pearl-Snap,German Pilsener,413,12.0,Austin Beerworks,Austin, TX
5.2,340,Black Thunder,Schwarzbier,413,12.0,Austin Beerworks,Austin, TX
8.0,2589,Raja,American Double / Imperial IPA,37,12.0,Avery Brewing Company,Boulder, CO
6.4,2546,Perzik Saison,Saison / Farmhouse Ale,37,12.0,Avery Brewing Company,Boulder, CO
4.7,146,Avery Joe’s Premium American Pilsner,German Pilsener,37,12.0,Avery Brewing Company,Boulder, CO
5.59999999999999,108,White Rascal,Witbier,37,12.0,Avery Brewing Company,Boulder, CO
6.3,107,Avery India Pale Ale,American IPA,37,12.0,Avery Brewing Company,Boulder, CO
5.5,106,Ellie’s Brown Ale,American Brown Ale,37,12.0,Avery Brewing Company,Boulder, CO
6.2,1620,Pumpkin Beast,Pumpkin Ale,360,12.0,Aviator Brewing Company,Fuquay-Varina, NC
7.199999999999999,1579,OktoberBeast,Märzen / Oktoberfest,360,12.0,Aviator Brewing Company,Fuquay-Varina, NC
4.8,1228,Mad Beach,American Pale Wheat Ale,360,12.0,Aviator Brewing Company,Fuquay-Varina, NC
6.7,705,Hog Wild India Pale Ale,American IPA,360,12.0,Aviator Brewing Company,Fuquay-Varina, NC
9.2,704,Devils Tramping Ground Tripel,Tripel,360,12.0,Aviator Brewing Company,Fuquay-Varina, NC
6.1,702,Hot Rod Red,American Amber / Red Ale,360,12.0,Aviator Brewing Company,Fuquay-Varina, NC
8.6,2058,Palate Mallet,American Double / Imperial IPA,235,12.0,Back East Brewing Company,Bloomfield, CT
6.0,1483,Back East Porter,American Porter,235,12.0,Back East Brewing Company,Bloomfield, CT
