City,State,% Age Over 19
"Youngstown-Warren-Boardman, O",Pennsylvania,0.7766197272097073
Yuba City,California,0.710889721838627
Yuma,Arizona,0.7206000289869076
Aberdeen,South Dakota,0.7361750605211943
Aberdeen,Washington,0.779661899246496
Ada,Oklahoma,0.7209862956266541
Adrian,Michigan,0.7640870690003638
Alamogordo,New Mexico,0.7499161037104046
Albemarle,North Carolina,0.7612455656286953
Albert Lea,Minnesota,0.7592442030635143
Albertville,Alabama,0.7212505599218145
Alexander City,Alabama,0.7870728343014785
Alexandria,Minnesota,0.7639023395687854
Alice,Texas,0.7019114046458037
Alma,Michigan,0.7710138648180243
Alpena,Michigan,0.7940677672792718
Altus,Oklahoma,0.7233724825442951
Americus,Georgia,0.7348419774295785
Amsterdam,New York,0.7461963759635175
Andrews,Texas,0.658297180043384
Angola,Indiana,0.7661700161700161
Arcadia,Florida,0.7929841897233202
Ardmore,Oklahoma,0.7259131385988001
Arkadelphia,Arkansas,0.7298907180713851
Ashland,Ohio,0.7459094732013151
Ashtabula,Ohio,0.7589714086113194
Astoria,Oregon,0.797536474527625
Atchison,Kansas,0.7228277603300696
Athens,Ohio,0.7529167203815909
Athens,Tennessee,0.7641280822804714
Athens,Texas,0.762068677017223
Atmore,Alabama,0.7529087986048666
Auburn,Indiana,0.7354902730021
Auburn,New York,0.7850026357406431
Augusta-Waterville,Maine,0.7869077647285638
Austin,Minnesota,0.7218985009213607
Bainbridge,Georgia,0.7316619601900958
Baraboo,Wisconsin,0.7529263132258703
Bardstown,Kentucky,0.7468682321966963
Barre,Vermont,0.7863229335156497
Bartlesville,Oklahoma,0.734650951262033
Batavia,New York,0.7731319032720861
Batesville,Arkansas,0.744005781913452
Bay City,Texas,0.7145608628659477
Beatrice,Nebraska,0.7528682457438934
Beaver Dam,Wisconsin,0.785339200340376
Bedford,Indiana,0.7653428000887509
Beeville,Texas,0.7656189367481567
Bellefontaine,Ohio,0.7500380145541435
Bemidji,Minnesota,0.7091203104786546
Bennettsville,South Carolina,0.7804942764005761
Bennington,Vermont,0.7837692967409948
Berlin,New Hampshire,0.8213749240947298
Big Rapids,Michigan,0.7532911993205266
Big Spring,Texas,0.7577648851383029
Big Stone Gap,Virginia,0.7774273141200112
Blackfoot,Idaho,0.6738481054096079
"Bluefield, W",Virginia,0.7778506583012501
Bluffton,Indiana,0.7292619782246338
Blytheville,Arkansas,0.7140011598295555
Bogalusa,Louisiana,0.7403895154321671
Bonham,Texas,0.7646914052886324
Boone,North Carolina,0.7924733561972195
Borger,Texas,0.7252988533788729
Bozeman,Montana,0.7715075012427371
Bradford,Pennsylvania,0.773741268370847
Brainerd,Minnesota,0.7721047094751249
Branson,Missouri,0.7629063436607729
